Cluster,Conteggio,'VmPeak','VmSize','VmHWM','VmRSS','VmPTE','Threads','MemFree','Buffers','Cached','Active','Inactive','Dirty','Writeback','Mapped','PageTables','Committed_AS','NumOfAllocFH','proc-fd','avgThroughput','avgElapsed'
1,82,"152626,73171","150721,85366","25603,902439","25485,512195",160,"30,597560976","5601766,4878","33865,463415","335975,70732","6,938894e-18","142088,29268","305552,19512","5601766,4878","173,36585366","77775,414634","23773,95122","28728,829268","7200,3414634","296388,43902","1287,4390244"
2,9,"168470,66667","168239,55556","30999,555556",30964,"195,55555556","23,888888889","4755415,1111","96352,444444","1032846,6667",0,"364586,22222","850453,33333","4755415,1111","135004,44444","85770,222222","24333,333333","107299,11111","7645,7777778","316247,11111","1473,3333333"
3,762,"172319,48556","170331,95801","32629,832021","31538,267717",200,"31,667979003","4635309,1654","132199,04462","1117190,0105","4,302114e-16","415557,91601","917708,51969","4635309,1654","695,77427822","83869,007874","23740,545932","109556,95013","7207,0761155","316229,39633",1530
4,468,"172379,71795","170327,4188","32625,034188","31574,649573",200,"31,269230769","4641871,547","125805,95726","1117165,5043","0,014957265","412741,47009","914137,22222","4641871,547","89,666666667","83895,282051",23740,"109395,94017","7206,6239316","316057,51282","996,02564103"
5,923,"172596,79307","170470,4442","33155,644637","31883,692308","200,35102925","32,412784399","4585008,7454","180261,31311","1117735,3803","0,0043336945","452432,16468","929789,10509","4585008,7454","124,17334778","84215,778982","23840,130011","110873,03575","7206,9122427","316314,8169","1588,0173348"
6,978,"173412,53988","170874,38446","33586,335378","32161,746421","201,38650307","38,615541922","4584777,2106","180010,92434","1117724,1677","0,0020449898","452090,83845","930146,45399","4584777,2106","124,2208589","84493,93865","23829,90184","111126,51534","7207,9468303","316694,21677","984,01840491"
7,1,172388,170340,32696,31460,200,33,4635532,132072,1117192,111,412036,921028,4635532,164,83800,23740,109580,7208,316560,1530
8,5,"160227,2","158997,6","27864,8","27778,4","175,2","58,2","4999288,8",83848,"774548,8","6,938894e-18",395888,589960,"4999288,8","121324,8","127426,4",28324,"92523,2","7998,4","352653,6",2040
9,2,170344,170340,31144,31140,200,"47,5",4563622,92182,1175070,"6,938894e-18",569560,832332,4563622,392016,134502,29956,111502,8026,365478,1785
10,136,"210885,47059","206311,11765","57870,176471","54549,970588","307,64705882","160,05147059","4534854,7059","203986,23529","1118389,3529","-1,17961e-16","520315,55882",908935,"4534854,7059","88,735294118","106881,91176",23848,"112827,02941","7314,2352941","347462,47059",930
11,11,215352,"210511,27273",61784,"58373,818182","313,81818182","156,72727273","4528386,9091","204172,72727","1118423,6364","6,938894e-18","526278,54545","908529,81818","4528386,9091","93,818181818","112209,45455","23996,727273","113049,09091","7791,6363636","355612,72727","602,72727273"
12,117,215352,206136,61784,"53206,529915",312,"9,7948717949","4539104,1368","204534,87179","1118478,0513","-1,38778e-17","520744,75214","907788,88889","4539104,1368","101,57264957","105549,16239",23848,"110227,04274","7318,8376068","347133,47009","823,84615385"
13,298,"190851,03356","184658,41611",42778,"37722,697987","250,16107383","95,929530201","4556856,3624","198404,02685","1118129,1275","0,0134228188","488516,48322","918073,39597","4556856,3624","85,812080537","90063,154362","23848,510067","114362,08054","7256,6979866","331007,66443","499,73154362"
14,474,"193029,93249","186693,34177","43585,654008","38319,350211","258,03375527","102,22995781","4554005,0802","200467,53586","1118200,5992","0,0042194093","494141,87342","915179,6962","4554005,0802","72,666666667","90665,721519","23848,320675","114407,70464","7284,2869198","333199,47679","1078,1012658"
15,728,"187886,19231","181681,3022","41793,401099","36931,571429","238,13736264","89,968406593","4561182,7582","195385,99451","1118033,0879","0,2348901099","481120,09341","921566,15385","4561182,7582","104,95054945","89283,186813","23847,752747","113987,03846","7228,8241758","328292,08791","1129,9862637"
